,rank,finalWorth,age,selfMade,is_male,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
462,455,5600,51.0,True,True,57765600.0,1971.0,11.0,1.0,108.15,0.8,395098666122,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
463,455,5600,65.0,True,True,-384775200.0,1957.0,10.0,23.0,115.16,0.4,2029000000000,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922
464,455,5600,59.0,True,True,-189424800.0,1964.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
465,466,5500,73.0,False,True,-647258400.0,1949.0,6.0,29.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
466,466,5500,65.0,False,True,-401536800.0,1957.0,4.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
468,466,5500,32.0,True,True,649861200.0,1990.0,8.0,6.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
469,466,5500,34.0,True,True,589726800.0,1988.0,9.0,9.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
470,466,5500,93.0,True,True,-1285318800.0,1929.0,4.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
471,466,5500,77.0,False,True,-776772000.0,1945.0,5.0,22.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
472,466,5500,58.0,False,True,-152877600.0,1965.0,2.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
473,466,5500,95.0,False,True,-1318669200.0,1928.0,3.0,20.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
474,466,5500,68.0,True,True,-468324000.0,1955.0,3.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
475,466,5500,81.0,True,True,-901879200.0,1941.0,6.0,4.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
476,466,5500,58.0,False,True,-157802400.0,1965.0,1.0,1.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
477,466,5500,66.0,True,True,-421754400.0,1956.0,8.0,21.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
478,466,5500,78.0,False,False,-788004000.0,1945.0,1.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
480,466,5500,78.0,True,True,-800359200.0,1944.0,8.0,22.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
481,466,5500,80.0,True,True,-845373600.0,1943.0,3.0,20.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
482,466,5500,80.0,False,False,-874663200.0,1942.0,4.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
483,466,5500,68.0,True,True,-465645600.0,1955.0,4.0,1.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
484,466,5500,56.0,True,False,-94730400.0,1967.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
485,486,5400,77.0,True,True,-757418400.0,1946.0,1.0,1.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
486,486,5400,81.0,False,True,-905853600.0,1941.0,4.0,19.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
